Timestamp,World_X,World_Y,World_Z,UTM_Easting,UTM_Northing,UTM_Zone,Velocity_kmh,Yaw,Throttle,Steering,Brake,Acceleration_kmh_per_s
0.408,-3490.00,-9330.00,54.51,320797.7602,4039142.5139,52,1.47,0.0000,1.000,0.092,0.000,0.00
0.408,-3490.00,-9330.00,54.51,320797.7602,4039142.5139,52,1.47,0.0000,1.000,0.092,0.000,0.00
0.408,-3490.00,-9330.00,54.51,320797.7602,4039142.5139,52,1.47,0.0000,1.000,0.092,0.000,0.00
0.408,-3490.00,-9330.00,54.51,320797.7602,4039142.5139,52,1.47,0.0000,1.000,0.092,0.000,0.00
0.511,-3490.00,-9330.00,48.52,320797.7602,4039142.5139,52,3.82,0.0000,1.000,0.092,0.000,22.94
0.625,-3490.00,-9330.00,28.73,320797.7602,4039142.5139,52,7.84,0.0000,1.000,0.092,0.000,35.22
0.713,-3486.85,-9330.00,10.89,320797.7917,4039142.5139,52,6.10,0.0012,1.000,0.092,0.000,-19.71
0.822,-3475.33,-9330.16,10.44,320797.9069,4039142.5155,52,5.61,0.0252,1.000,0.092,0.000,-4.50
0.915,-3458.25,-9330.27,18.71,320798.0777,4039142.5166,52,8.06,0.0458,1.000,0.091,0.000,26.45
1.011,-3434.35,-9330.30,24.35,320798.3166,4039142.5169,52,9.75,0.0662,1.000,0.091,0.000,17.43
1.110,-3403.92,-9330.24,24.07,320798.6210,4039142.5163,52,11.91,0.0844,1.000,0.091,0.000,21.88
1.225,-3362.11,-9330.02,18.98,320799.0391,4039142.5141,52,14.41,0.1111,1.000,0.090,0.000,21.77
1.317,-3326.49,-9329.89,16.88,320799.3953,4039142.5128,52,16.06,0.1404,1.000,0.089,0.000,17.81
1.419,-3277.82,-9329.69,17.58,320799.8820,4039142.5108,52,18.14,0.1795,1.000,0.088,0.000,20.46
1.512,-3227.80,-9329.44,19.46,320800.3821,4039142.5083,52,20.02,0.2184,1.000,0.087,0.000,20.16
1.614,-3168.31,-9329.09,20.47,320800.9771,4039142.5048,52,22.03,0.2625,1.000,0.086,0.000,19.88
1.710,-3106.28,-9328.68,20.03,320801.5974,4039142.5007,52,23.98,0.3066,1.000,0.085,0.000,20.23
1.820,-3028.77,-9328.12,19.08,320802.3725,4039142.4951,52,26.30,0.3595,1.000,0.083,0.000,21.04
1.917,-2954.40,-9327.52,18.86,320803.1161,4039142.4891,52,28.47,0.4076,1.000,0.081,0.000,22.29
2.010,-2877.35,-9326.84,19.18,320803.8867,4039142.4823,52,30.68,0.4549,1.000,0.080,0.000,23.74
2.109,-2789.68,-9326.00,19.60,320804.7633,4039142.4739,52,33.17,0.5055,1.000,0.078,0.000,25.42
2.220,-2681.70,-9324.88,19.71,320805.8432,4039142.4627,52,36.23,0.5634,1.000,0.075,0.000,27.47
